IDCode,gmm_bic_best_label,gmm_aic_best_label,gmm_aicc_best_label,narrative_best_label,narrative_text
jefi901,1,6,1,0,Accuracy medium (84.21%); speed fast (11.87s); timing stable (var=142.90); correct streak moderate (16); incorrect streak short (2); consecutive correct frequent (0.75).
huve181,4,4,3,4,Accuracy low (57.89%); speed moderate (18.86s); timing moderately variable (var=296.10); correct streak short (5); incorrect streak long (5); consecutive correct rare (0.36).
gelo627,4,4,3,4,Accuracy low (54.39%); speed fast (14.31s); timing moderately variable (var=190.88); correct streak short (8); incorrect streak long (10); consecutive correct rare (0.34).
bebo956,4,4,0,4,Accuracy low (45.61%); speed slow (21.89s); timing moderately variable (var=303.41); correct streak short (5); incorrect streak long (14); consecutive correct rare (0.29).
puxi257,4,4,0,4,Accuracy low (52.63%); speed fast (11.94s); timing moderately variable (var=167.49); correct streak short (8); incorrect streak long (10); consecutive correct rare (0.36).
cupe992,2,1,0,4,Accuracy low (31.58%); speed moderate (17.96s); timing moderately variable (var=229.44); correct streak short (7); incorrect streak long (11); consecutive correct rare (0.18).
diha837,3,0,1,5,Accuracy medium (75.44%); speed fast (14.33s); timing moderately variable (var=207.88); correct streak moderate (13); incorrect streak short (2); consecutive correct occasional (0.55).
xafy802,3,0,1,5,Accuracy medium (75.44%); speed slow (21.63s); timing moderately variable (var=266.57); correct streak moderate (15); incorrect streak short (3); consecutive correct occasional (0.62).
cumo221,3,6,1,5,Accuracy medium (78.95%); speed moderate (19.28s); timing moderately variable (var=231.72); correct streak long (18); incorrect streak short (2); consecutive correct occasional (0.61).
turi097,0,5,3,5,Accuracy medium (66.67%); speed fast (13.99s); timing moderately variable (var=232.45); correct streak moderate (17); incorrect streak long (10); consecutive correct occasional (0.55).
xune455,3,0,3,5,Accuracy medium (73.68%); speed fast (14.17s); timing moderately variable (var=246.35); correct streak moderate (15); incorrect streak long (5); consecutive correct occasional (0.61).
huby293,1,2,2,6,Accuracy high (91.23%); speed slow (22.89s); timing highly variable (var=600.36); correct streak long (30); incorrect streak short (1); consecutive correct frequent (0.82).
ryko512,1,2,1,6,Accuracy high (87.72%); speed slow (20.42s); timing highly variable (var=334.13); correct streak long (33); incorrect streak short (3); consecutive correct frequent (0.82).
pyzi618,1,2,1,6,Accuracy high (94.74%); speed fast (13.46s); timing highly variable (var=414.79); correct streak long (28); incorrect streak short (1); consecutive correct frequent (0.89).
syco853,5,7,2,6,Accuracy high (87.72%); speed slow (28.78s); timing highly variable (var=936.98); correct streak long (23); incorrect streak short (1); consecutive correct frequent (0.79).
xyzi642,1,2,2,6,Accuracy high (87.72%); speed slow (25.92s); timing highly variable (var=688.54); correct streak long (30); incorrect streak short (2); consecutive correct frequent (0.80).
hoxo855,0,5,3,7,Accuracy medium (64.91%); speed slow (24.59s); timing highly variable (var=489.61); correct streak short (10); incorrect streak moderate (4); consecutive correct rare (0.50).
doza768,4,3,2,7,Accuracy medium (61.40%); speed slow (33.16s); timing highly variable (var=786.72); correct streak short (6); incorrect streak moderate (4); consecutive correct rare (0.39).
sulo956,0,5,3,7,Accuracy medium (64.91%); speed slow (20.42s); timing highly variable (var=428.06); correct streak short (11); incorrect streak moderate (4); consecutive correct rare (0.48).
nolu547,5,7,2,7,Accuracy medium (61.40%); speed slow (25.11s); timing highly variable (var=1420.61); correct streak short (8); incorrect streak moderate (4); consecutive correct rare (0.38).
givi158,0,5,3,7,Accuracy medium (64.91%); speed slow (21.59s); timing highly variable (var=509.91); correct streak short (8); incorrect streak long (5); consecutive correct rare (0.48).
heda014,1,6,1,8,Accuracy medium (84.21%); speed moderate (16.48s); timing moderately variable (var=313.63); correct streak long (27); incorrect streak short (3); consecutive correct frequent (0.77).
kyse146,1,6,1,8,Accuracy medium (84.21%); speed moderate (15.08s); timing moderately variable (var=266.61); correct streak long (24); incorrect streak short (2); consecutive correct frequent (0.73).
posy958,3,9,3,8,Accuracy medium (80.70%); speed moderate (15.66s); timing moderately variable (var=187.59); correct streak long (26); incorrect streak long (10); consecutive correct frequent (0.79).
saca329,1,6,1,8,Accuracy medium (84.21%); speed moderate (18.01s); timing moderately variable (var=282.47); correct streak long (18); incorrect streak short (1); consecutive correct frequent (0.70).
ryhy064,1,6,1,8,Accuracy medium (84.21%); speed fast (14.44s); timing moderately variable (var=247.23); correct streak long (35); incorrect streak moderate (4); consecutive correct frequent (0.77).
qecu035,5,7,2,9,Accuracy medium (82.46%); speed slow (24.61s); timing highly variable (var=1389.76); correct streak moderate (17); incorrect streak short (3); consecutive correct frequent (0.75).
nivo041,5,0,2,9,Accuracy medium (80.70%); speed slow (24.15s); timing highly variable (var=736.91); correct streak moderate (12); incorrect streak short (2); consecutive correct frequent (0.68).
vihu826,5,7,2,9,Accuracy medium (78.95%); speed slow (32.40s); timing highly variable (var=1505.21); correct streak moderate (15); incorrect streak short (3); consecutive correct frequent (0.66).
feji918,3,0,1,9,Accuracy medium (78.95%); speed slow (22.46s); timing highly variable (var=483.72); correct streak long (34); incorrect streak moderate (4); consecutive correct frequent (0.70).
cona428,5,7,2,9,Accuracy medium (78.95%); speed moderate (17.64s); timing highly variable (var=1082.30); correct streak long (25); incorrect streak short (3); consecutive correct frequent (0.66).
xori482,0,0,3,10,Accuracy medium (71.93%); speed fast (9.78s); timing stable (var=117.53); correct streak moderate (14); incorrect streak long (6); consecutive correct occasional (0.62).
zoma564,3,0,3,10,Accuracy medium (75.44%); speed fast (10.99s); timing stable (var=148.86); correct streak moderate (15); incorrect streak long (6); consecutive correct occasional (0.64).
dasy955,0,9,3,10,Accuracy medium (70.18%); speed fast (13.76s); timing stable (var=118.45); correct streak moderate (14); incorrect streak short (3); consecutive correct occasional (0.52).
foji729,3,9,3,10,Accuracy medium (73.68%); speed fast (13.37s); timing stable (var=107.37); correct streak moderate (14); incorrect streak short (2); consecutive correct occasional (0.55).
gaga585,0,9,3,10,Accuracy medium (70.18%); speed fast (14.09s); timing stable (var=121.74); correct streak long (21); incorrect streak moderate (4); consecutive correct occasional (0.57).
muvo194,4,3,0,11,Accuracy low (54.39%); speed slow (28.01s); timing highly variable (var=658.17); correct streak short (10); incorrect streak long (15); consecutive correct rare (0.38).
johy783,4,3,0,11,Accuracy low (49.12%); speed slow (21.40s); timing highly variable (var=473.97); correct streak short (8); incorrect streak long (6); consecutive correct rare (0.30).
vexo008,4,3,3,11,Accuracy low (54.39%); speed slow (20.65s); timing highly variable (var=398.18); correct streak short (8); incorrect streak long (6); consecutive correct rare (0.36).
zomi496,4,3,2,11,Accuracy low (59.65%); speed slow (24.93s); timing highly variable (var=704.22); correct streak short (6); incorrect streak long (5); consecutive correct rare (0.36).
doxe392,5,7,2,11,Accuracy low (57.89%); speed slow (29.10s); timing highly variable (var=2198.61); correct streak short (8); incorrect streak long (13); consecutive correct rare (0.45).
gyly160,0,5,3,12,Accuracy medium (63.16%); speed fast (13.48s); timing stable (var=151.22); correct streak moderate (16); incorrect streak long (5); consecutive correct rare (0.48).
texu966,4,5,3,12,Accuracy medium (61.40%); speed fast (14.62s); timing stable (var=103.72); correct streak moderate (12); incorrect streak long (5); consecutive correct rare (0.46).
xamy888,0,5,3,12,Accuracy medium (64.91%); speed moderate (15.67s); timing stable (var=109.51); correct streak short (8); incorrect streak moderate (4); consecutive correct rare (0.43).
zivi062,0,5,3,12,Accuracy medium (64.91%); speed fast (11.82s); timing stable (var=55.58); correct streak moderate (17); incorrect streak long (5); consecutive correct rare (0.50).
mika525,4,5,3,12,Accuracy medium (61.40%); speed moderate (15.39s); timing stable (var=94.55); correct streak short (11); incorrect streak moderate (4); consecutive correct rare (0.46).
rawo522,1,2,1,13,Accuracy high (85.96%); speed moderate (18.31s); timing moderately variable (var=280.86); correct streak long (37); incorrect streak short (3); consecutive correct frequent (0.79).
peto053,1,2,1,13,Accuracy high (85.96%); speed fast (14.44s); timing moderately variable (var=160.83); correct streak long (28); incorrect streak short (1); consecutive correct frequent (0.73).
vyxi492,1,2,1,13,Accuracy high (91.23%); speed fast (13.57s); timing moderately variable (var=212.71); correct streak long (30); incorrect streak short (2); consecutive correct frequent (0.84).
kegi864,1,2,1,13,Accuracy high (87.72%); speed fast (10.95s); timing moderately variable (var=169.09); correct streak long (22); incorrect streak short (2); consecutive correct frequent (0.79).
ravy196,1,2,1,13,Accuracy high (96.49%); speed moderate (18.96s); timing moderately variable (var=227.58); correct streak long (39); incorrect streak short (1); consecutive correct frequent (0.93).
keho061,0,5,3,14,Accuracy medium (63.16%); speed moderate (16.27s); timing moderately variable (var=166.06); correct streak short (7); incorrect streak long (5); consecutive correct rare (0.46).
xamy676,0,5,3,14,Accuracy medium (64.91%); speed moderate (18.09s); timing moderately variable (var=271.50); correct streak short (7); incorrect streak long (5); consecutive correct rare (0.46).
tuga736,4,5,3,14,Accuracy medium (61.40%); speed fast (11.69s); timing moderately variable (var=167.80); correct streak short (8); incorrect streak moderate (4); consecutive correct rare (0.41).
sapu497,0,5,3,14,Accuracy medium (63.16%); speed slow (19.54s); timing moderately variable (var=279.99); correct streak moderate (12); incorrect streak long (6); consecutive correct rare (0.50).
kami789,4,5,3,14,Accuracy medium (61.40%); speed moderate (18.37s); timing moderately variable (var=329.46); correct streak short (8); incorrect streak short (3); consecutive correct rare (0.38).
