IDCode,gmm_bic_best_label,gmm_aic_best_label,gmm_aicc_best_label,narrative_best_label,narrative_text
sina926,3,9,1,0,Accuracy medium (77.19%); speed fast (11.84s); timing stable (var=98.48); correct streak long (24); incorrect streak moderate (4); consecutive correct frequent (0.68).
duxo262,1,2,1,11,Accuracy high (85.96%); speed moderate (18.45s); timing stable (var=140.44); correct streak long (24); incorrect streak short (2); consecutive correct frequent (0.77).
ryhy064,1,6,1,12,Accuracy medium (84.21%); speed fast (14.44s); timing moderately variable (var=247.23); correct streak long (35); incorrect streak moderate (4); consecutive correct frequent (0.77).
hiwu738,3,6,1,12,Accuracy medium (82.46%); speed fast (14.47s); timing moderately variable (var=231.12); correct streak moderate (15); incorrect streak short (2); consecutive correct frequent (0.71).
fovo989,1,6,1,12,Accuracy medium (84.21%); speed fast (14.43s); timing moderately variable (var=244.38); correct streak moderate (17); incorrect streak short (3); consecutive correct frequent (0.75).
tubo945,1,6,1,12,Accuracy medium (84.21%); speed fast (11.69s); timing moderately variable (var=158.88); correct streak long (28); incorrect streak short (2); consecutive correct frequent (0.70).
sejy814,3,6,1,12,Accuracy medium (82.46%); speed fast (13.52s); timing moderately variable (var=173.68); correct streak moderate (15); incorrect streak short (3); consecutive correct frequent (0.71).
vuzo690,5,0,2,13,Accuracy medium (70.18%); speed slow (22.27s); timing highly variable (var=712.24); correct streak moderate (12); incorrect streak short (3); consecutive correct occasional (0.55).
kuqy630,5,0,2,13,Accuracy medium (78.95%); speed slow (25.61s); timing highly variable (var=638.33); correct streak moderate (12); incorrect streak short (3); consecutive correct occasional (0.64).
cylu852,3,0,2,13,Accuracy medium (78.95%); speed slow (21.43s); timing highly variable (var=493.31); correct streak moderate (16); incorrect streak short (2); consecutive correct occasional (0.64).
woci389,3,0,1,13,Accuracy medium (77.19%); speed slow (20.63s); timing highly variable (var=451.51); correct streak moderate (13); incorrect streak short (3); consecutive correct occasional (0.59).
puca767,3,0,3,13,Accuracy medium (73.68%); speed slow (20.40s); timing highly variable (var=389.29); correct streak moderate (13); incorrect streak short (3); consecutive correct occasional (0.55).
hyku415,5,7,2,14,Accuracy medium (73.68%); speed slow (29.43s); timing highly variable (var=1214.94); correct streak long (25); incorrect streak short (3); consecutive correct occasional (0.61).
geka905,3,0,1,14,Accuracy medium (75.44%); speed slow (22.31s); timing highly variable (var=352.70); correct streak long (21); incorrect streak short (3); consecutive correct occasional (0.61).
piro376,3,0,3,14,Accuracy medium (73.68%); speed slow (23.52s); timing highly variable (var=497.17); correct streak long (21); incorrect streak long (5); consecutive correct occasional (0.62).
syzu625,5,7,2,14,Accuracy medium (66.67%); speed slow (23.75s); timing highly variable (var=1100.69); correct streak long (20); incorrect streak long (5); consecutive correct occasional (0.52).
dyhi182,0,0,3,14,Accuracy medium (71.93%); speed slow (21.38s); timing highly variable (var=482.67); correct streak long (18); incorrect streak short (3); consecutive correct occasional (0.55).
fari709,2,1,0,15,Accuracy low (28.07%); speed moderate (17.35s); timing stable (var=136.60); correct streak short (4); incorrect streak long (23); consecutive correct rare (0.12).
puce552,4,4,3,15,Accuracy low (54.39%); speed moderate (18.97s); timing stable (var=48.45); correct streak short (7); incorrect streak long (6); consecutive correct rare (0.32).
lore323,2,1,0,15,Accuracy low (35.09%); speed moderate (17.14s); timing stable (var=116.46); correct streak short (5); incorrect streak long (9); consecutive correct rare (0.18).
keno764,4,4,3,15,Accuracy low (54.39%); speed moderate (15.68s); timing stable (var=31.89); correct streak short (7); incorrect streak long (8); consecutive correct rare (0.34).
baky109,4,4,0,15,Accuracy low (45.61%); speed moderate (14.96s); timing stable (var=135.93); correct streak short (7); incorrect streak long (13); consecutive correct rare (0.32).
lazi600,3,6,1,16,Accuracy medium (82.46%); speed moderate (17.74s); timing stable (var=144.86); correct streak long (18); incorrect streak short (3); consecutive correct frequent (0.71).
guva627,1,6,1,16,Accuracy medium (84.21%); speed moderate (17.13s); timing stable (var=148.57); correct streak long (21); incorrect streak short (3); consecutive correct frequent (0.75).
luli756,3,9,1,16,Accuracy medium (75.44%); speed moderate (17.65s); timing stable (var=147.63); correct streak long (22); incorrect streak moderate (4); consecutive correct frequent (0.66).
jewe923,3,9,1,16,Accuracy medium (77.19%); speed moderate (15.96s); timing stable (var=84.96); correct streak long (26); incorrect streak long (5); consecutive correct frequent (0.70).
feqy379,3,9,1,16,Accuracy medium (78.95%); speed moderate (16.29s); timing stable (var=154.48); correct streak long (20); incorrect streak moderate (4); consecutive correct frequent (0.68).
rawo522,1,2,1,17,Accuracy high (85.96%); speed moderate (18.31s); timing moderately variable (var=280.86); correct streak long (37); incorrect streak short (3); consecutive correct frequent (0.79).
ravy196,1,2,1,17,Accuracy high (96.49%); speed moderate (18.96s); timing moderately variable (var=227.58); correct streak long (39); incorrect streak short (1); consecutive correct frequent (0.93).
pile112,1,2,1,17,Accuracy high (87.72%); speed moderate (16.50s); timing highly variable (var=352.65); correct streak long (22); incorrect streak short (2); consecutive correct frequent (0.79).
vabe169,1,2,1,17,Accuracy high (87.72%); speed moderate (15.13s); timing moderately variable (var=158.80); correct streak long (26); incorrect streak short (3); consecutive correct frequent (0.80).
koqa816,1,2,1,17,Accuracy high (94.74%); speed moderate (16.29s); timing moderately variable (var=167.68); correct streak long (33); incorrect streak short (1); consecutive correct frequent (0.89).
keho061,0,5,3,18,Accuracy medium (63.16%); speed moderate (16.27s); timing moderately variable (var=166.06); correct streak short (7); incorrect streak long (5); consecutive correct rare (0.46).
bofi991,4,5,3,18,Accuracy medium (61.40%); speed moderate (16.53s); timing moderately variable (var=166.94); correct streak moderate (12); incorrect streak long (7); consecutive correct rare (0.46).
gosa272,0,5,3,18,Accuracy medium (63.16%); speed moderate (14.76s); timing moderately variable (var=267.57); correct streak moderate (15); incorrect streak long (7); consecutive correct rare (0.46).
tuza510,0,5,3,18,Accuracy medium (64.91%); speed moderate (18.38s); timing moderately variable (var=254.96); correct streak short (6); incorrect streak moderate (4); consecutive correct rare (0.45).
xamy676,0,5,3,18,Accuracy medium (64.91%); speed moderate (18.09s); timing moderately variable (var=271.50); correct streak short (7); incorrect streak long (5); consecutive correct rare (0.46).
myzo000,3,0,3,19,Accuracy medium (73.68%); speed slow (22.66s); timing highly variable (var=404.25); correct streak moderate (15); incorrect streak moderate (4); consecutive correct occasional (0.61).
duwi894,3,6,1,19,Accuracy medium (78.95%); speed moderate (17.02s); timing highly variable (var=404.10); correct streak moderate (15); incorrect streak short (3); consecutive correct occasional (0.64).
vyzo298,3,6,1,20,Accuracy medium (78.95%); speed fast (14.33s); timing stable (var=104.68); correct streak long (26); incorrect streak short (2); consecutive correct occasional (0.64).
zipu412,3,9,1,20,Accuracy medium (78.95%); speed fast (11.98s); timing stable (var=120.51); correct streak long (18); incorrect streak short (3); consecutive correct occasional (0.64).
jemy201,0,5,3,20,Accuracy medium (68.42%); speed fast (14.23s); timing stable (var=109.42); correct streak short (11); incorrect streak long (5); consecutive correct occasional (0.55).
rino885,3,9,1,20,Accuracy medium (77.19%); speed fast (10.74s); timing stable (var=83.06); correct streak long (22); incorrect streak short (3); consecutive correct occasional (0.64).
tiqy778,3,6,1,20,Accuracy medium (78.95%); speed fast (14.34s); timing stable (var=154.65); correct streak long (25); incorrect streak short (2); consecutive correct occasional (0.64).
saca329,1,6,1,21,Accuracy medium (84.21%); speed moderate (18.01s); timing moderately variable (var=282.47); correct streak long (18); incorrect streak short (1); consecutive correct frequent (0.70).
zabe850,3,6,1,21,Accuracy medium (82.46%); speed moderate (18.11s); timing moderately variable (var=212.57); correct streak long (21); incorrect streak short (2); consecutive correct frequent (0.70).
sony276,1,6,1,21,Accuracy medium (84.21%); speed moderate (16.11s); timing moderately variable (var=235.69); correct streak long (36); incorrect streak moderate (4); consecutive correct frequent (0.77).
caro445,3,6,1,21,Accuracy medium (78.95%); speed moderate (17.98s); timing moderately variable (var=213.60); correct streak long (22); incorrect streak moderate (4); consecutive correct frequent (0.68).
wyxo615,3,6,1,21,Accuracy medium (82.46%); speed moderate (15.37s); timing moderately variable (var=310.98); correct streak moderate (13); incorrect streak short (2); consecutive correct frequent (0.70).
gyly160,0,5,3,22,Accuracy medium (63.16%); speed fast (13.48s); timing stable (var=151.22); correct streak moderate (16); incorrect streak long (5); consecutive correct rare (0.48).
texu966,4,5,3,22,Accuracy medium (61.40%); speed fast (14.62s); timing stable (var=103.72); correct streak moderate (12); incorrect streak long (5); consecutive correct rare (0.46).
kifo712,0,5,3,22,Accuracy medium (63.16%); speed fast (10.59s); timing stable (var=106.35); correct streak short (11); incorrect streak long (5); consecutive correct rare (0.50).
zivi062,0,5,3,22,Accuracy medium (64.91%); speed fast (11.82s); timing stable (var=55.58); correct streak moderate (17); incorrect streak long (5); consecutive correct rare (0.50).
waho571,0,5,3,22,Accuracy medium (64.91%); speed slow (21.40s); timing stable (var=140.24); correct streak moderate (14); incorrect streak long (7); consecutive correct rare (0.48).
gelo627,4,4,3,23,Accuracy low (54.39%); speed fast (14.31s); timing moderately variable (var=190.88); correct streak short (8); incorrect streak long (10); consecutive correct rare (0.34).
copo281,2,1,0,23,Accuracy low (33.33%); speed fast (12.95s); timing moderately variable (var=183.32); correct streak short (5); incorrect streak long (26); consecutive correct rare (0.23).
puxi257,4,4,0,23,Accuracy low (52.63%); speed fast (11.94s); timing moderately variable (var=167.49); correct streak short (8); incorrect streak long (10); consecutive correct rare (0.36).
maju644,4,8,3,23,Accuracy low (57.89%); speed fast (10.95s); timing moderately variable (var=163.35); correct streak short (11); incorrect streak long (13); consecutive correct rare (0.48).
buby236,2,1,0,23,Accuracy low (28.07%); speed fast (11.48s); timing moderately variable (var=165.09); correct streak short (11); incorrect streak long (23); consecutive correct rare (0.20).
cima563,1,2,1,24,Accuracy high (87.72%); speed slow (26.35s); timing highly variable (var=375.23); correct streak long (29); incorrect streak short (2); consecutive correct frequent (0.80).
huby293,1,2,2,24,Accuracy high (91.23%); speed slow (22.89s); timing highly variable (var=600.36); correct streak long (30); incorrect streak short (1); consecutive correct frequent (0.82).
ryko512,1,2,1,24,Accuracy high (87.72%); speed slow (20.42s); timing highly variable (var=334.13); correct streak long (33); incorrect streak short (3); consecutive correct frequent (0.82).
pogi169,1,2,2,24,Accuracy high (87.72%); speed slow (29.18s); timing highly variable (var=580.71); correct streak long (30); incorrect streak short (2); consecutive correct frequent (0.80).
lije367,5,7,2,24,Accuracy high (91.23%); speed slow (22.93s); timing highly variable (var=924.50); correct streak long (34); incorrect streak short (2); consecutive correct frequent (0.84).
hadi890,3,9,3,25,Accuracy medium (73.68%); speed moderate (17.19s); timing stable (var=130.86); correct streak moderate (16); incorrect streak long (5); consecutive correct occasional (0.61).
vyva107,3,9,1,25,Accuracy medium (75.44%); speed moderate (15.78s); timing stable (var=129.24); correct streak long (26); incorrect streak moderate (4); consecutive correct occasional (0.62).
qexo432,3,9,1,25,Accuracy medium (77.19%); speed moderate (16.01s); timing stable (var=149.22); correct streak moderate (14); incorrect streak short (3); consecutive correct occasional (0.64).
togu404,3,9,1,25,Accuracy medium (77.19%); speed moderate (18.22s); timing stable (var=132.57); correct streak long (18); incorrect streak moderate (4); consecutive correct occasional (0.64).
hime464,0,9,3,25,Accuracy medium (71.93%); speed moderate (15.28s); timing stable (var=154.72); correct streak moderate (12); incorrect streak short (3); consecutive correct occasional (0.59).
xune455,3,0,3,26,Accuracy medium (73.68%); speed fast (14.17s); timing moderately variable (var=246.35); correct streak moderate (15); incorrect streak long (5); consecutive correct occasional (0.61).
pajo050,0,5,3,26,Accuracy medium (64.91%); speed fast (13.67s); timing moderately variable (var=162.38); correct streak moderate (13); incorrect streak long (13); consecutive correct occasional (0.54).
vani542,0,0,3,26,Accuracy medium (71.93%); speed fast (14.15s); timing moderately variable (var=224.54); correct streak moderate (13); incorrect streak short (3); consecutive correct occasional (0.55).
turi097,0,5,3,26,Accuracy medium (66.67%); speed fast (13.99s); timing moderately variable (var=232.45); correct streak moderate (17); incorrect streak long (10); consecutive correct occasional (0.55).
wype120,0,5,3,26,Accuracy medium (66.67%); speed fast (14.01s); timing moderately variable (var=296.28); correct streak moderate (17); incorrect streak long (12); consecutive correct occasional (0.57).
ropi792,1,2,1,27,Accuracy high (87.72%); speed fast (8.57s); timing stable (var=75.10); correct streak long (21); incorrect streak short (1); consecutive correct frequent (0.77).
kywu572,1,2,1,27,Accuracy high (85.96%); speed fast (13.33s); timing stable (var=139.11); correct streak long (33); incorrect streak short (3); consecutive correct frequent (0.77).
gelu604,1,2,1,27,Accuracy high (94.74%); speed fast (11.19s); timing stable (var=105.90); correct streak long (38); incorrect streak short (1); consecutive correct frequent (0.91).
lany944,1,2,1,27,Accuracy high (91.23%); speed fast (10.48s); timing stable (var=62.83); correct streak long (44); incorrect streak short (3); consecutive correct frequent (0.88).
joti731,1,2,1,27,Accuracy high (87.72%); speed fast (12.34s); timing stable (var=114.39); correct streak long (24); incorrect streak short (2); consecutive correct frequent (0.79).
mofe780,5,3,2,28,Accuracy medium (61.40%); speed slow (25.47s); timing highly variable (var=1018.80); correct streak short (8); incorrect streak long (5); consecutive correct rare (0.41).
nejy388,5,3,2,28,Accuracy medium (63.16%); speed slow (25.44s); timing highly variable (var=771.72); correct streak short (9); incorrect streak long (8); consecutive correct rare (0.50).
naky151,5,7,2,28,Accuracy medium (61.40%); speed slow (28.11s); timing highly variable (var=1213.18); correct streak short (10); incorrect streak long (8); consecutive correct rare (0.45).
tebe135,5,8,2,28,Accuracy medium (64.91%); speed slow (19.88s); timing highly variable (var=726.00); correct streak short (9); incorrect streak long (5); consecutive correct rare (0.48).
givi158,0,5,3,28,Accuracy medium (64.91%); speed slow (21.59s); timing highly variable (var=509.91); correct streak short (8); incorrect streak long (5); consecutive correct rare (0.48).
